,Spectral centroid,Band Energy Ratio,Spectral Roll Off
38566,2010.025159,11.04367161,3493
38567,2116.824539,4.251625061,3846
38568,2049.3559,8.115591049,4040.333333
38569,1916.081452,15.04359245,3135
38570,1849.917973,12.5014267,2876.333333
38571,1546.490864,12.24150848,2853.666667
38572,1771.220659,11.75620365,3072.666667
38573,1564.79363,15.18550491,2824.666667
38574,2258.936316,3.36913228,4187
38575,2477.051499,8.160878181,5220
38576,1987.749492,16.47835159,3796
38577,1857.337635,10.82833958,3439.333333
38578,1840.797462,13.50933933,3388.666667
38579,1938.350697,17.04564095,3736.666667
38580,1987.117017,29.85884285,3330.666667
38581,1701.937835,6.934589386,3067.666667
38582,1992.514259,6.431920528,3732.666667
38583,1750.493068,7.542251587,3120
38584,1552.999192,28.29585838,2774.333333
38585,1717.030404,22.25536728,3101.333333
38586,1830.072546,29.17495346,3218.333333
38587,2135.48745,37.8238945,4855.666667
38588,1622.505044,22.20235062,2875
38589,2019.629802,11.16017723,3877
38590,2322.983526,14.99809837,4706.666667
38591,1631.152036,4.095076561,2806.333333
38592,1735.283742,5.883464813,3011
38593,2078.181158,7.807190895,3530.666667
38594,1912.460549,17.58403778,3674.666667
38595,1936.615152,7.36934948,3683.333333
38596,2026.077832,10.5721941,3677.666667
38597,1830.902928,8.400714874,3171.333333
38598,3008.2923,6.46143961,7093.333333
38599,2186.593502,6.383668423,4107.333333
38600,2215.965779,7.04354763,4293
38601,1576.667344,9.362615585,2772.666667
38602,2067.450127,7.325820923,3742.333333
38603,1875.324541,8.060231209,3287.666667
38604,1832.25104,15.13516617,3249
38605,2349.999175,7.829253674,4711.333333
38606,1819.100469,12.77476025,3266.333333
38607,1904.819855,11.03789043,3216.666667
38608,2375.129122,4.87454319,4189
38609,1922.522061,6.340221405,3347
38610,2133.360734,6.271790504,3796
38611,2070.37247,21.82584763,4141.333333
38612,1780.733155,16.74079704,3063.333333
38613,2299.987206,7.40925312,4081
38614,2032.94078,5.581683159,3596.333333
38615,2048.247879,7.699036598,3821.333333
38616,1625.604794,20.14925003,3083.333333
38617,1971.496148,16.96809769,3349.666667
38618,1794.433648,4.893227577,2945.666667
38619,2213.365097,9.050844193,4022.333333
38620,2398.970766,6.304041862,4297
38621,2209.979296,5.078018188,4169.333333
38622,2351.131949,27.59814072,4931
38623,1783.635042,35.65764618,3024.666667
38624,2318.628964,18.79869461,4899
38625,1913.054522,20.96350288,3145.333333
38626,2040.616437,2.667767525,3363
38627,2409.610748,5.843873501,4210.333333
38628,2611.439022,2.206815243,4761.333333
38629,1425.981112,10.85388851,2457.333333
38630,2381.826656,11.29189491,5848
38631,2147.043662,10.12469006,3739
38632,2465.355667,19.19357681,6286.666667
38633,2789.41374,8.70277977,6130
38634,2045.14146,6.185763836,3634.666667
38635,2325.21516,21.58133507,5125.666667
38636,2058.089201,11.35422897,4050
38637,1568.69647,63.41900635,2839.333333
38638,2367.396986,13.27060223,5728.666667
38639,2648.882955,7.296610832,5977
38640,1862.182426,25.74815369,3419.666667
38641,1914.282793,3.584117889,3025.666667
38642,1462.423782,25.90055847,2766
38643,1929.974556,17.03506279,3601
38644,1760.367278,10.68027878,3176
38645,1937.397523,17.40371323,3617.666667
38646,2707.564243,9.332614899,6435.666667
38647,3313.391831,3.636283636,6514.666667
38648,1815.469716,5.061631203,2970
38649,1500.612185,22.04584503,2833.666667
38650,1529.055815,18.9431572,2687
38651,3039.60471,6.004620075,6725
38652,2436.551386,6.123459816,4502
38653,2149.278253,3.541301966,3768.666667
38654,2191.079449,7.439805031,3837.333333
38655,1939.80799,14.74485779,3675
38656,1865.568702,8.776675224,3350.333333
38657,2004.49842,5.79266119,3619.333333
38658,2189.995057,20.92558861,4488.333333
38659,2230.911357,10.45314121,4116
38660,2029.58779,14.04955482,3745.666667
38661,2917.770199,5.10441637,6401.333333
38662,1610.133834,24.42430496,2656.333333
38663,1438.899503,19.9865284,2553.333333
38664,1857.310516,29.85643578,3506.666667
38665,2688.510595,2.655935764,4801
38666,2828.569249,1.844302773,4744.333333
38667,2646.344399,2.521668673,4329
38668,2409.839375,4.645439148,4064.666667
38669,1831.749726,15.72678089,3389
38670,2361.131517,4.107165813,4352
38671,2122.649729,10.06744576,3805
38672,1885.815927,30.9977932,3621.666667
38673,2480.631853,4.060237408,4290.333333
38674,1888.908844,26.09036255,3798.333333
38675,2340.897939,5.260803223,4298
38676,1918.532295,10.9994421,3586
38677,2029.024543,14.69172001,4147.333333
38678,1631.288547,14.92470169,2830.666667
38679,2226.763691,2.957148552,3725.333333
38680,1771.673718,13.5983963,3054
38681,1810.918548,29.46272659,3358.666667
38682,2097.022615,4.395242691,3634
38683,1878.633181,5.853129864,3224
38684,1844.291939,8.879106522,3182.333333
