,Spectral Centroid,Band Energy Ratio,Spectral Rolloff
53153,1052.077404,18.723154,3751.333333
53154,1465.153946,42.66291,2678.333333
53155,1443.38292,31.459469,2250.666667
53156,1107.103384,19.982485,3514.0
53157,1093.3935,16.479483,4537.0
53158,1243.808069,24.113058,4111.666667
53159,1528.312422,27.932608,2609.0
53160,1332.370945,21.872309,4242.333333
53161,1479.482786,22.72055,4195.0
53162,937.3433015,18.030077,3551.333333
53163,998.7492153,16.817293,2366.666667
53164,1018.407672,52.095802,2707.0
53165,1529.034143,30.169542,2483.333333
53166,1599.853452,36.502705,2107.0
53167,1376.464478,11.764178,4698.333333
53168,967.8147746,32.46489,2675.666667
53169,1362.901594,29.757093,3240.666667
53170,1533.791555,17.094501,4352.666667
53171,1512.473007,32.66498,2578.333333
53172,1654.596785,10.159434,4776.0
53173,1768.691771,69.03589,2502.666667
53174,1054.537154,36.148087,2385.0
53175,1426.249596,8.955756,4833.666667
53176,1456.632026,16.046644,3782.333333
53177,1301.587755,10.080529,4400.666667
53178,1563.554506,8.136603,5225.666667
53179,1384.861941,28.317148,3236.333333
53180,1435.401935,23.010822,3044.0
53181,1389.889068,17.830597,4674.0
53182,1091.601262,11.004794,4663.333333
53183,1220.941936,18.790596,4214.666667
53184,1002.588758,6.8393793,4928.0
53185,1897.287975,56.480625,2164.0
53186,1475.334085,13.609144,4683.333333
53187,1241.461096,71.92086,1941.0
53188,954.6329803,14.682138,4252.0
53189,899.2725589,8.555369,4559.0
53190,1113.404571,11.125572,4782.666667
53191,928.873811,17.565361,4472.0
53192,924.1437459,15.938033,4148.0
53193,1040.832136,7.754178,4647.333333
53194,1468.512175,18.78586,4483.333333
53195,985.7481771,25.779474,2472.666667
53196,974.5389634,19.763685,3924.666667
53197,945.0285109,28.347334,3423.0
53198,1377.769096,50.6373,2123.0
53199,1399.935553,23.655144,3444.333333
53200,1125.234814,17.061207,4238.333333
53201,1002.616325,24.035133,3900.0
53202,1306.139878,7.6969123,4831.0
53203,1280.551771,12.14756,4261.666667
53204,1389.158341,6.3651423,5045.0
53205,1666.383022,25.551252,4242.0
53206,1028.58265,98.23734,1823.666667
53207,1781.859854,28.22636,3487.333333
53208,1433.710418,17.91818,4355.666667
53209,1345.537741,25.897144,3859.333333
53210,1725.448707,17.866179,4604.666667
53211,1409.676212,16.871504,4238.666667
53212,1181.180204,16.999153,4051.333333
53213,1360.697376,29.142307,2580.666667
53214,1285.042902,16.428894,4533.666667
53215,1612.879731,11.193531,3408.666667
53216,1146.855823,10.273141,4769.333333
53217,2230.447344,7.837226,4755.333333
53218,1076.520569,9.324233,4755.333333
53219,1009.270306,24.829887,2650.333333
53220,952.8426598,38.77936,2657.333333
53221,1461.784412,11.0451565,3742.666667
53222,1273.425655,7.110041,3547.666667
