,Mean,Mode,Median,Standard Deviation,Zero Crossing Rate,RMS,Ampl. Env,Human/Robo
41690,402.91,0.0,0.0,3047.3,8027,3893.8947507604776,29981.0,1
41691,394.32,0.0,0.0,3114.64,9713,4187.834069062432,29981.0,1
41692,486.58,0.0,0.0,3523.8,8560,3959.801030354936,29809.0,1
41693,594.68,0.0,5.0,3592.29,6770,3669.969904508755,29961.0,1
41694,518.2,0.0,1.0,3092.7,7502,3869.6073495898777,29961.0,1
41695,450.18,0.0,0.0,3097.33,7918,3714.511484704281,29825.0,1
41696,617.4,-1.0,52.0,3600.3,7181,3581.716535405894,27952.0,1
41697,376.8,0.0,0.0,2906.97,5373,3013.299639929624,30151.0,1
41698,539.09,0.0,0.0,3410.45,4727,3565.7492803056134,30151.0,1
41699,486.46,0.0,0.0,3415.47,6483,3569.994906158831,29019.0,1
41700,294.6,0.0,0.0,2825.93,8172,3348.206557248224,29598.0,1
41701,468.73,0.0,0.0,3077.4,8445,3659.336860689379,29598.0,1
41702,511.5,0.0,3.0,3375.12,8038,3700.822947669883,29450.0,1
41703,422.73,0.0,2.0,3331.57,8630,3141.329836231783,27939.0,1
41704,454.98,0.0,4.0,3271.62,8155,3550.7989410835416,27939.0,1
41705,449.54,0.0,0.0,3002.73,7147,3634.98309349576,30413.0,1
41706,463.63,0.0,0.0,3203.95,5113,3444.0482400802694,30050.0,1
41707,552.84,0.0,23.0,3519.2,7176,3742.2798826383896,30331.0,1
41708,555.86,-1.0,69.0,3597.3,7447,3522.4506171130347,30331.0,1
41709,547.42,0.0,76.0,3648.06,7388,3406.782888591523,29608.0,1
41710,380.84,0.0,0.0,2870.08,5960,4029.78210329045,30188.0,1
41711,411.57,0.0,0.0,2705.63,6805,3960.883545372169,30193.0,1
41712,621.51,-2.0,70.0,3300.82,7789,3438.837844388712,30193.0,1
41713,530.55,16.0,50.0,3356.22,6862,3633.830763808354,30519.0,1
41714,479.65,0.0,28.0,3372.56,7251,4016.658164444667,30519.0,1
41715,385.63,0.0,0.0,2895.42,5505,3221.0888795561045,29869.0,1
41716,582.37,8.0,60.0,3573.8,7372,3435.453117130257,29869.0,1
41717,598.65,3.0,55.0,3746.34,8891,3676.648086232894,29617.0,1
41718,555.17,18.0,49.0,3703.2,9075,3980.310089678944,29617.0,1
41719,521.91,-1.0,42.0,3796.4,9543,3795.885932163926,29766.0,1
41720,476.38,-1.0,38.0,3585.39,10409,3360.8754395246488,30649.0,1
41721,435.72,0.0,29.0,3092.18,8256,2734.219853998577,30649.0,1
41722,323.03,0.0,0.0,2602.88,6122,3396.5535223222964,29784.0,1
41723,366.68,0.0,0.0,2838.89,6614,3866.6159985186014,30497.0,1
41724,417.7,0.0,0.0,3091.62,7226,3285.4794505520804,29913.0,1
41725,455.88,0.0,0.0,3097.8,6129,3716.361903797853,28890.0,1
41726,491.07,0.0,0.0,3174.79,7056,3640.7405208281457,30275.0,1
41727,484.79,0.0,1.0,3064.3,8182,3282.1242938072896,30275.0,1
41728,595.26,10.0,53.0,3445.8,7493,2509.431335980325,25893.0,1
41729,542.87,3.0,59.0,3621.55,8191,3662.602876370847,27510.0,1
41730,375.51,0.0,0.0,3203.5,6764,4310.201991786464,28452.0,1
41731,339.04,0.0,0.0,2636.38,4929,3352.8979107631653,29603.0,1
41732,413.64,0.0,0.0,2845.78,5665,3133.7021173047065,29603.0,1
41733,526.19,6.0,55.0,3500.05,7933,3434.7970493174703,28407.0,1
41734,417.75,0.0,2.0,3268.9,7900,3131.633126660912,29813.0,1
41735,459.6,0.0,3.0,2971.94,6862,3550.573952194208,30138.0,1
41736,579.8,0.0,52.0,3294.97,8262,3989.898812000124,30138.0,1
41737,573.52,0.0,79.0,3140.94,8507,3848.78626452548,29847.0,1
41738,331.11,0.0,0.0,2402.5,5755,3017.723020755881,27874.0,1
41739,232.68,0.0,0.0,2309.79,4403,2931.5626976068584,26191.0,1
41740,480.98,0.0,2.0,2879.95,6582,3397.701496600312,28627.0,1
41741,564.21,0.0,52.0,3050.85,6973,3559.7089473719616,28627.0,1
41742,510.37,-2.0,51.0,3033.37,7216,3184.7439080717304,29797.0,1
41743,419.95,0.0,0.0,2869.91,7628,3312.5505550859143,30216.0,1
41744,371.11,0.0,0.0,2765.86,6975,3526.74447472453,30216.0,1
41745,510.68,0.0,0.0,3053.05,6440,3344.1748249755124,29739.0,1
41746,566.33,0.0,61.0,3328.6,6757,3512.5832104022816,29739.0,1
41747,346.41,0.0,0.0,2690.15,7308,3880.243628949089,28673.0,1
41748,347.23,0.0,0.0,2721.3,8086,3333.64742436869,29455.0,1
41749,559.82,0.0,35.0,3727.42,7951,3142.9731083800257,29455.0,1
41750,372.52,0.0,0.0,3062.36,6286,3534.982206461583,27356.0,1
41751,606.1,0.0,82.0,3562.42,7023,4133.239201885127,29756.0,1
41752,615.25,16.0,89.0,3333.42,7328,3085.195687472676,29756.0,1
41753,434.39,0.0,0.0,2814.86,6887,2875.812945933724,26686.0,1
41754,415.15,0.0,0.0,2815.59,6160,3450.705611900268,28324.0,1
41755,564.56,0.0,0.0,3514.42,8316,3559.190122766695,28324.0,1
41756,368.83,0.0,0.0,3036.51,8204,3569.424551660954,29414.0,1
41757,365.23,0.0,0.0,2754.85,8072,2663.749449554143,29751.0,1
41758,562.57,0.0,65.0,3160.56,8146,3157.16474388018,29778.0,1
41759,429.59,0.0,0.0,2665.95,7800,3771.97468310698,29778.0,1
41760,425.89,0.0,0.0,2903.32,6452,3606.474744123408,30052.0,1
41761,530.34,0.0,13.0,3232.06,8047,4179.479761884247,30052.0,1
41762,382.34,0.0,0.0,2695.57,7474,3199.919177104322,29583.0,1
41763,409.56,0.0,0.0,2886.52,6999,3138.1334260990243,29474.0,1
41764,550.67,0.0,7.0,3197.93,7590,3579.4514607688143,29241.0,1
41765,444.61,0.0,0.0,2791.33,5821,3331.3017140451266,29674.0,1
41766,530.09,0.0,0.0,3343.25,5166,2885.8850271623783,29674.0,1
41767,597.02,-1.0,69.0,3883.75,6661,3128.564619757757,30024.0,1
41768,368.15,0.0,0.0,3231.56,5065,3793.753700492429,30024.0,1
41769,559.13,3.0,32.0,3289.31,7925,2990.4598308621366,29560.0,1
41770,579.54,0.0,54.0,3252.41,6847,2792.0317172267223,30284.0,1
41771,552.48,0.0,72.0,3397.5,6333,3535.018429937813,30284.0,1
41772,336.82,0.0,0.0,2781.47,4930,3960.903879166976,30193.0,1
41773,384.91,0.0,0.0,2875.32,6039,3393.500281420351,30226.0,1
41774,518.78,-1.0,42.0,3570.5,8178,3111.4793941146386,30226.0,1
41775,495.83,0.0,53.0,3373.75,9033,3796.560960922398,30380.0,1
41776,578.17,-22.0,73.0,3349.9,7880,2999.942337779178,30380.0,1
41777,494.32,0.0,0.0,3329.79,6189,3069.02389857101,27472.0,1
41778,400.27,0.0,0.0,2954.38,5268,3783.7229444027744,30138.0,1
41779,427.14,0.0,0.0,3052.96,5865,3106.3785072009496,29978.0,1
41780,474.71,0.0,0.0,3603.43,8144,3228.3073351216112,29978.0,1
41781,555.19,1.0,67.0,3645.76,7964,3855.403980129709,29831.0,1
41782,608.61,4.0,74.0,3511.84,7462,3559.4168932565344,29158.0,1
41783,514.83,0.0,48.0,3405.77,7555,3503.966973303259,29242.0,1
41784,340.66,0.0,0.0,3019.48,5565,3981.5671650745767,29242.0,1
41785,340.51,0.0,0.0,2698.97,5615,3000.9816094071616,29664.0,1
41786,441.42,0.0,1.0,3013.23,7377,2920.86382770577,29664.0,1
41787,613.25,8.0,44.0,3376.42,6761,3288.6032445401497,30442.0,1
41788,473.9,7.0,25.0,3205.66,8435,3586.414906281759,30065.0,1
41789,379.65,0.0,0.0,3262.82,10200,3858.244793944521,24215.0,1
41790,435.55,0.0,0.0,3293.67,9022,3532.41452408972,29650.0,1
41791,378.21,0.0,0.0,2845.17,6885,3030.237523693481,29650.0,1
41792,359.2,0.0,0.0,2728.76,9093,3186.7957637727586,29612.0,1
41793,393.02,0.0,0.0,2841.05,8522,3636.495417293964,30319.0,1
41794,475.21,0.0,0.0,3385.64,4570,3378.239384649939,30319.0,1
41795,620.62,0.0,30.0,3746.66,5586,3404.031894680189,28998.0,1
41796,548.65,0.0,48.0,3319.73,8224,3232.139729343396,30246.0,1
41797,364.67,0.0,0.0,2705.24,5992,3783.9993168604033,30246.0,1
41798,295.54,0.0,0.0,2315.58,5931,3493.920193707921,30132.0,1
41799,409.23,0.0,0.0,2872.22,7192,2947.4412072168634,29803.0,1
41800,280.17,0.0,0.0,2469.34,7087,3549.141611714021,28141.0,1
41801,298.63,0.0,0.0,2354.92,6943,3266.9166855002595,28141.0,1
41802,467.99,0.0,4.0,2919.17,6364,3380.732879125472,28042.0,1
41803,355.2,0.0,0.0,2696.89,5315,3769.593695612301,28446.0,1
41804,419.47,0.0,0.0,2926.99,5037,3303.501784470533,30304.0,1
41805,587.03,10.0,74.0,3218.94,8927,3752.900723440469,29750.0,1
41806,577.41,0.0,51.0,3180.78,8310,3803.1636514880606,29750.0,1
41807,565.68,0.0,40.0,3209.5,7101,3364.6888221646886,30204.0,1
41808,409.06,0.0,0.0,2886.42,5113,2880.83608350076,30204.0,1
41809,367.61,0.0,0.0,2456.1,6226,3296.066344902663,29822.0,1
41810,512.04,0.0,40.0,2947.27,7732,3464.078275674497,29841.0,1
41811,409.47,0.0,0.0,2724.56,5499,3015.1414809258954,29841.0,1
41812,388.19,0.0,0.0,2967.72,7206,3463.923168893906,30406.0,1
41813,539.42,0.0,17.0,3672.01,9439,3901.191355214456,30406.0,1
41814,583.34,0.0,80.0,3474.46,7908,3906.9881264216815,30039.0,1
41815,419.76,0.0,0.0,2969.36,5303,3365.37960414572,28601.0,1
41816,274.09,0.0,0.0,2447.39,6268,3499.181587171492,25773.0,1
41817,471.32,0.0,0.0,3204.98,8382,3732.069534454041,29368.0,1
